,amp,attack,blue,bpm,cutoff,green,initial_offset,instrument,mix_echo,mix_reverb,mod_phase,mod_range,nature,number,order,pan,pitch,red,release,rootnote,rootoctave,total_offset
4,0.7,0,255,25,58,109,0.5,3,0.0,0.64,0.79,10,guitar,4,3,0.08,-41,163,0.36,24,3,0.625
5,0.73,0,255,25,96,193,0.5,0,0.2,0.57,0.43,2,guitar,2,3,0.31,-41,224,1.0,24,5,0.125
6,0.58,0,255,100,99,121,0.5,3,0.0,0.92,0.7,11,guitar,3,3,-0.37,-34,211,0.96,31,3,0.03125
7,0.87,0,255,25,57,119,0.5,3,0.42,0.86,0.4,9,guitar,4,3,0.5,-31,100,0.81,34,4,0.875
8,0.76,0,255,25,60,215,0.5,3,0.01,0.56,0.8,2,guitar,3,3,0.44,-41,101,0.01,24,5,0.0
9,0.8,0,255,25,89,100,0.5,0,0.13,0.8,0.79,5,guitar,4,3,0.49,-31,159,0.99,34,3,0.5
10,0.53,0,255,25,98,183,0.5,1,0.02,0.72,0.67,2,guitar,4,3,-0.39,-41,227,0.63,24,3,0.875
11,0.67,0,255,25,78,105,0.5,2,0.26,0.71,0.23,2,guitar,1,3,-0.29,-33,100,1.0,32,3,0.5
12,0.81,0,255,25,50,110,0.5,2,0.03,0.51,0.78,11,guitar,4,3,0.0,-41,103,0.27,24,3,0.125
13,0.57,0,255,25,99,108,0.5,3,0.08,0.95,0.17,2,guitar,4,3,-0.44,-41,253,0.89,24,3,0.375
14,0.89,0,255,25,55,123,0.5,0,0.25,0.79,0.79,3,guitar,2,3,0.49,-41,146,0.17,24,3,0.5
15,0.54,0,255,25,97,189,0.5,0,0.0,0.82,0.63,2,guitar,4,3,-0.31,-41,172,0.93,24,3,0.25
16,0.96,0,255,100,51,210,0.5,0,0.05,0.87,0.8,3,guitar,3,3,0.3,-38,100,0.31,27,4,0.21875
17,0.55,0,255,25,83,100,0.5,1,0.48,0.52,0.79,3,guitar,4,3,0.43,-34,164,0.02,31,3,0.625
18,0.92,0,255,25,56,143,0.5,0,0.0,0.5,0.79,2,guitar,4,3,-0.16,-30,105,0.34,35,3,0.0
19,0.75,0,255,25,64,103,0.5,1,0.0,0.92,0.74,4,guitar,1,3,-0.31,-40,234,0.37,25,5,0.75
0,0.94,0,255,50,85,100,0.5,3,0.27,0.66,0.8,8,hat,3,3,-0.35,4,209,0.83,34,3,0.125
1,0.94,0,255,50,92,152,0.25,3,0.02,0.6,0.14,3,hat,2,3,0.35,5,122,0.93,35,3,0.125
2,1.0,0,255,25,97,119,0.75,3,0.3,0.51,0.13,2,hat,2,3,-0.49,5,208,0.8,35,3,0.0
3,0.69,0,255,25,92,193,0.75,2,0.11,0.8,0.41,5,hat,3,3,-0.46,5,143,0.57,35,3,0.5
4,1.0,0,255,25,84,173,0.0,2,0.1,0.59,0.63,8,hat,3,3,-0.02,-1,144,0.97,28,3,0.5
5,0.52,0,255,50,85,129,0.5,2,0.47,0.61,0.8,10,hat,2,3,-0.06,-5,150,0.9,24,3,0.375
6,0.96,0,255,100,93,135,0.25,1,0.46,0.57,0.11,11,hat,3,3,-0.14,-2,213,0.93,27,3,0.0
7,0.98,0,255,25,80,101,0.75,3,0.33,0.51,0.53,2,hat,2,3,-0.49,3,217,0.06,33,3,0.0
8,0.67,0,255,25,74,150,0.25,1,0.01,0.64,0.66,3,hat,2,3,0.36,-5,119,0.56,24,3,0.5
9,0.73,0,255,25,97,163,0.5,3,0.15,0.51,0.61,2,hat,2,3,0.44,3,162,0.41,33,4,0.75
10,0.56,0,255,25,79,100,0.5,3,0.37,0.96,0.8,10,hat,3,3,0.17,-4,239,0.97,25,3,0.0
11,0.87,0,255,100,85,124,0.75,1,0.1,0.99,0.11,2,hat,3,3,0.42,5,117,0.35,35,5,0.0
12,0.85,0,255,25,98,136,0.0,0,0.24,0.54,0.77,2,hat,2,3,-0.31,2,102,1.0,32,3,0.25
13,0.97,0,255,25,84,214,0.75,3,0.41,0.5,0.21,2,hat,2,3,-0.49,3,190,0.85,33,5,0.25
14,1.0,0,255,25,99,107,0.5,3,0.14,0.5,0.13,3,hat,2,3,-0.07,5,244,0.36,35,4,0.0
15,0.65,0,255,100,94,137,0.5,3,0.01,0.61,0.1,2,hat,3,3,0.08,5,115,0.56,35,3,0.0
16,0.95,0,255,25,77,125,0.75,3,0.14,0.93,0.35,9,hat,3,3,-0.33,0,254,0.89,30,3,0.25
17,0.64,0,255,25,74,254,0.25,1,0.24,0.52,0.12,4,hat,2,3,0.39,-3,119,0.95,26,4,0.5
18,0.97,0,255,50,82,100,0.0,3,0.03,0.65,0.41,3,hat,2,3,0.26,2,194,0.63,32,5,0.0
19,1.0,0,255,25,98,195,0.5,3,0.5,0.51,0.39,2,hat,2,3,-0.5,4,238,0.59,34,4,0.5
0,0.64,0,231,25,100,234,0.5,0,0.01,0.34,0.13,6,kick,1,3,0,0,179,1,35,3,0
1,0.83,0,160,25,100,220,0.5,0,0.46,0.35,0.13,5,kick,1,3,0,0,252,1,35,3,0
2,0.68,0,244,100,100,235,0.5,0,0.46,0.28,0.12,5,kick,1,3,0,0,167,1,27,3,0
3,0.52,0,184,100,100,107,0.5,2,0.11,0.37,0.11,5,kick,1,3,0,0,252,1,35,3,0
4,0.96,0,153,25,100,252,0.5,2,0.16,0.37,0.15,7,kick,1,3,0,0,253,1,35,3,0
5,0.52,0,153,25,100,211,0.5,0,0.16,0.29,0.12,4,kick,2,3,0,0,244,1,29,4,0
6,0.94,0,200,25,100,105,0.5,0,0.56,0.38,0.46,2,kick,1,3,0,0,107,1,35,3,0
7,0.57,0,249,100,100,248,0.5,2,0.51,0.3,0.22,4,kick,1,3,0,0,224,1,27,3,0
8,0.58,0,248,25,100,163,0.5,2,0.4,0.17,0.31,10,kick,1,3,0,0,141,1,33,3,0
9,0.74,0,209,25,100,180,0.5,0,0.6,0.36,0.62,10,kick,1,3,0,0,191,1,35,3,0
10,0.6,0,162,100,100,243,0.5,2,0.53,0.22,0.65,11,kick,2,3,0,0,133,1,24,3,0
11,0.7,0,140,25,100,247,0.5,2,0.33,0.16,0.45,2,kick,1,3,0,0,239,1,35,5,0
12,0.58,0,191,25,100,216,0.5,0,0.52,0.35,0.11,7,kick,1,3,0,0,228,1,35,5,0
13,0.86,0,254,100,100,199,0.5,0,0.07,0.31,0.11,7,kick,2,3,0,0,108,1,34,3,0
14,0.84,0,254,100,100,193,0.5,0,0.51,0.24,0.12,9,kick,1,3,0,0,137,1,24,4,0
15,0.93,0,183,100,100,241,0.5,2,0.39,0.19,0.1,10,kick,1,3,0,0,173,1,35,3,0
16,0.82,0,231,25,100,230,0.5,0,0.22,0.13,0.25,10,kick,1,3,0,0,141,1,35,3,0
17,0.53,0,246,25,100,142,0.5,0,0.0,0.39,0.11,6,kick,1,3,0,0,223,1,35,3,0
18,0.85,0,147,25,100,153,0.5,3,0.46,0.36,0.1,3,kick,2,3,0,0,252,1,33,5,0
19,0.56,0,247,100,100,243,0.5,1,0.48,0.33,0.4,7,kick,2,3,0,0,158,1,35,3,0
